Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
SPATA2,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
SPATA24,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
STX18,-1,0,0,-1,-1,-1,0,0,4,-4,-16,0.Down-regulated
SUPT5H,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TAF1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TBC1D10A,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
TBC1D12,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TEP1,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
TEX22,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
THUMPD1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TMEM106C,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
TMEM63B,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TNKS2,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TOGARAM2,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TPRG1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TRABD,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
TRABD2A,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TTC21B,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TTC28,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
TTLL7,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TUBB3,0,0,0,-1,-1,-1,-1,0,4,-4,-16,0.Down-regulated
UNC5B,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
VEGFA,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
VNN1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
VPREB3,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
VTA1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
WDR59,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
WDR5B,1,0,0,1,1,1,0,0,4,4,16,1.Unperturbed
