Symbol,deg_1,deg_2,deg_3,deg_4,deg_5,deg_6,deg_7,deg_8,ndeg,ddeg,idx,degvcount
TCTN3,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
THUMPD3,1,0,1,1,0,0,1,0,4,4,16,1.Unperturbed
TMEM140,-1,0,0,-1,-1,-1,0,0,4,-4,-16,0.Down-regulated
TMEM154,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TP53BP1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TRRAP,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
TTC27,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TTLL7,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
TXN2,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
TYMP,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
TYW1B,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
U2AF1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
USP42,1,0,0,0,1,0,1,1,4,4,16,1.Unperturbed
VASH2,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
VSIG8,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
XRCC2,1,0,0,1,0,1,1,0,4,4,16,1.Unperturbed
YPEL5,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ZBTB1,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ZNF133,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
ZNF445,-1,0,0,-1,-1,0,-1,0,4,-4,-16,0.Down-regulated
ZNF483,-1,0,-1,-1,0,0,-1,0,4,-4,-16,0.Down-regulated
ZNF70,1,0,0,1,1,0,1,0,4,4,16,1.Unperturbed
ANKRD42,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
APP,-1,0,0,-1,-1,-1,1,0,5,-3,-15,0.Down-regulated
ATP13A1,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
BICRA,1,0,1,1,1,-1,0,0,5,3,15,1.Unperturbed
BTBD10,1,0,1,1,0,-1,1,0,5,3,15,1.Unperturbed
C19orf84,0,0,1,1,0,-1,1,1,5,3,15,1.Unperturbed
C1orf109,-1,0,0,-1,-1,1,-1,0,5,-3,-15,0.Down-regulated
C21orf140,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
CABLES2,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
CCR2,-1,0,-1,-1,-1,1,0,0,5,-3,-15,0.Down-regulated
CDK5,-1,-1,0,-1,0,1,-1,0,5,-3,-15,0.Down-regulated
CLIP4,1,0,0,1,1,-1,1,0,5,3,15,1.Unperturbed
CNR1,1,0,1,0,1,-1,1,0,5,3,15,1.Unperturbed
